r_fighter,b_fighter,winner,r_kd,r_sig_str,r_sig_str_att,r_sig_str_acc,r_str,r_str_att,r_str_acc,r_td,r_td_att,r_td_acc,r_sub_att,r_rev,r_ctrl_sec,r_wins_total,r_losses_total,r_SLpM_total,r_SApM_total,r_sig_str_acc_total,r_td_acc_total,r_str_def_total,r_td_def_total,r_sub_avg,r_td_avg,b_kd,b_sig_str,b_sig_str_att,b_sig_str_acc,b_str,b_str_att,b_str_acc,b_td,b_td_att,b_td_acc,b_sub_att,b_rev,b_ctrl_sec,b_wins_total,b_losses_total,b_SLpM_total,b_SApM_total,b_sig_str_acc_total,b_td_acc_total,b_str_def_total,b_td_def_total,b_sub_avg,b_td_avg
Luiz Cane,Stanislav Nedkov,Blue,0,15,46,0.32,16,47,0.34,0,0,0,0,0,0,17,7,4.79,5,0.41,0.28,0.6,1,0.3,0.56,1,29,51,0.56,30,52,0.58,0,1,0,0,0,6,12,2,3.33,5.39,0.43,0.41,0.43,0,0,2.77
Thiago Tavares,Spencer Fisher,Red,0,10,26,0.38,109,140,0.78,3,7,0.42,0,0,403,21,7,2,2.31,0.4,0.42,0.62,0.62,1.5,3.83,0,3,9,0.33,34,42,0.81,0,0,0,0,0,1,24,9,3.17,3.03,0.43,0.3,0.64,0.6,0.8,0.67
Rousimar Palhares,Dan Miller,Red,1,67,111,0.6,147,206,0.71,2,2,1,0,1,323,19,8,1.75,2.04,0.51,0.45,0.59,0,4.1,3.93,1,42,97,0.43,48,104,0.46,0,0,0,0,1,38,14,8,2.03,3.06,0.36,0.54,0.49,0.47,1.8,1.67
Paulo Thiago,David Mitchell,Red,0,19,69,0.27,30,84,0.36,6,6,1,1,0,295,18,9,1.71,1.99,0.39,0.31,0.63,0.63,1.2,1.42,0,23,120,0.19,62,161,0.39,0,0,0,0,0,37,22,7,1.74,2.06,0.32,0.5,0.55,0.29,2,0.66
Raphael Assuncao,Johnny Eduardo,Red,0,53,101,0.52,93,143,0.65,3,8,0.37,0,0,295,28,10,3.22,2.5,0.42,0.39,0.66,0.78,0.2,1.65,0,28,85,0.32,30,88,0.34,0,0,0,1,0,4,28,13,2.95,3.22,0.39,0.2,0.63,0.58,0.4,0.22
Erick Silva,Luis Ramos,Red,1,4,9,0.44,6,11,0.55,0,0,0,0,0,5,19,9,2.5,4.18,0.48,0.35,0.49,0.56,1.4,0.85,0,4,7,0.57,4,7,0.57,0,0,0,0,0,0,20,10,2.4,5.6,0.35,0.2,0.42,1,0,1.5
Iuri Alcantara,Felipe Arantes,Red,0,22,52,0.42,75,123,0.61,6,6,1,0,0,434,35,10,2.72,2.79,0.45,0.62,0.49,0.6,0.8,1.44,0,29,47,0.61,54,77,0.7,0,0,0,0,1,135,18,10,2.37,2.66,0.45,0.47,0.64,0.41,0.7,0.93
Yves Jabouin,Ian Loveland,Red,0,37,106,0.34,38,107,0.36,2,6,0.33,0,1,59,20,11,3.06,2.93,0.41,0.6,0.62,0.82,0.1,1.94,0,33,102,0.32,45,118,0.38,3,7,0.42,1,1,151,18,10,2.71,2.36,0.4,0.37,0.64,0.69,0.3,1
Dan Hardy,Chris Lytle,Blue,0,61,238,0.25,63,240,0.26,1,2,0.5,0,0,7,25,10,2.46,3.44,0.35,0.35,0.51,0.35,0.4,0.73,0,127,271,0.46,134,278,0.48,0,0,0,1,1,20,31,18,3.76,3.03,0.45,0.55,0.58,0.55,2.4,0.7
Jim Miller,Benson Henderson,Blue,0,14,44,0.31,24,55,0.44,0,0,0,6,0,3,37,17,2.96,3.18,0.42,0.44,0.58,0.48,1.7,1.58,0,65,132,0.49,119,195,0.61,7,7,1,2,0,622,24,7,2.93,1.79,0.45,0.45,0.63,0.63,0.8,2.4
Donald Cerrone,Charles Oliveira,Red,0,30,60,0.5,32,63,0.51,0,0,0,0,0,12,36,17,4.41,4.48,0.46,0.33,0.53,0.73,1.2,1.16,0,10,29,0.34,10,29,0.34,0,0,0,0,0,0,34,9,3.54,3.19,0.53,0.4,0.51,0.55,2.7,2.32
Amir Sadollah,Duane Ludwig,Blue,0,95,256,0.37,96,257,0.37,0,8,0,0,0,59,6,5,4.71,3.55,0.46,0.27,0.6,0.6,0.3,0.57,0,123,328,0.37,125,331,0.38,1,2,0.5,0,0,99,21,14,4.62,3.05,0.44,0.25,0.57,0.59,0.1,0.43
CB Dollaway,Jared Hamman,Blue,0,19,40,0.47,28,51,0.55,3,7,0.42,1,1,175,17,9,2.65,2.58,0.47,0.54,0.54,0.62,1.2,3.55,0,53,113,0.46,109,184,0.59,0,0,0,0,0,219,14,6,5.15,3.93,0.42,0.46,0.55,0.3,0,1.57
Joseph Benavidez,Eddie Wineland,Red,0,66,144,0.45,69,147,0.47,0,6,0,0,0,9,28,8,3.52,2.67,0.34,0.3,0.61,0.62,0.6,1.41,0,24,71,0.33,25,72,0.35,0,1,0,0,0,20,24,16,3.4,3.76,0.29,0.33,0.68,0.86,0.1,0.34
Ed Herman,Kyle Noke,Red,0,2,6,0.33,4,8,0.5,1,1,1,3,0,12,27,16,3.31,3.71,0.48,0.47,0.42,0.59,1,1.96,0,12,13,0.92,19,20,0.95,1,3,0.33,0,0,205,22,10,3.23,2.09,0.5,0.54,0.64,0.66,0.8,1.53
Ronny Markes,Karlos Vemola,Red,0,40,52,0.76,142,183,0.78,6,6,1,0,0,778,17,5,2.17,2.43,0.53,0.4,0.45,1,0.5,3.13,0,8,24,0.33,44,67,0.66,0,4,0,1,0,36,17,5,1.67,2.13,0.44,0.25,0.37,0.31,1.7,1.93
Jimy Hettes,Alex Caceres,Red,0,2,7,0.28,31,44,0.7,5,9,0.55,2,1,271,11,3,3.47,3.5,0.57,0.44,0.57,0.61,1.4,5.2,0,13,25,0.52,25,38,0.66,0,0,0,0,2,131,21,14,4.16,2.93,0.5,0.68,0.63,0.64,0.7,0.56
Cole Miller,TJ O'Brien,Red,1,32,76,0.42,36,81,0.44,0,0,0,2,0,49,21,11,3,3.88,0.33,0.36,0.59,0.38,1.8,0.6,0,28,61,0.45,28,61,0.46,0,0,0,0,0,7,20,8,3.77,4.78,0.46,1,0.57,0,0,0.94
Jacob Volkmann,Danny Castillo,Red,0,6,16,0.37,39,51,0.76,3,5,0.6,6,0,467,19,7,1.19,1.78,0.34,0.48,0.52,0.52,2,3.19,0,22,30,0.73,47,57,0.82,1,4,0.25,0,1,186,17,10,2.57,1.96,0.42,0.38,0.62,0.63,0.2,2.95
Edwin Figueroa,Jason Reinhardt,Red,0,23,39,0.58,46,66,0.7,0,0,0,1,1,116,9,5,2.57,3.06,0.39,1,0.51,0.37,0.6,0.2,0,1,1,1,2,3,0.67,1,8,0.12,0,0,70,20,3,0.51,4.07,0.4,0.12,0.43,0.5,0,1.91
Rashad Evans,Tito Ortiz,Red,0,48,97,0.49,77,135,0.57,1,1,1,0,0,305,19,8,2.14,2.42,0.37,0.44,0.63,0.73,0,2.98,0,5,27,0.18,6,28,0.21,1,1,1,1,0,64,19,12,2.59,2.88,0.46,0.35,0.6,0.54,0.6,2.47
Vitor Belfort,Yoshihiro Akiyama,Red,2,12,25,0.48,12,25,0.48,0,0,0,0,0,9,26,14,1.59,2.83,0.46,0.6,0.5,0.53,0.6,1.02,0,1,9,0.11,1,9,0.11,0,0,0,0,0,0,14,6,3.1,3.62,0.41,0.67,0.57,0.92,1,2.29
Dennis Hallman,Brian Ebersole,Blue,0,0,1,0,2,4,0.5,1,1,1,1,0,136,53,20,1.12,1.96,0.44,0.3,0.43,0.25,2.1,1.79,0,19,24,0.79,49,58,0.84,0,0,0,0,1,127,51,18,2.32,2.14,0.49,0.23,0.56,0.61,0.1,1.7
Jorge Rivera,Constantinos Philippou,Blue,0,25,70,0.35,69,131,0.53,1,2,0.5,0,1,306,20,9,3.16,2.64,0.48,0.5,0.54,0.63,0.1,0.84,1,35,89,0.39,79,144,0.55,2,3,0.66,1,1,335,13,5,2.19,2.73,0.35,0.42,0.54,0.65,0.3,0.4
Rory MacDonald,Mike Pyle,Red,0,24,37,0.64,27,40,0.68,0,0,0,2,0,109,19,4,3.75,2.8,0.42,0.47,0.62,0.88,0.4,1.77,0,3,17,0.17,25,41,0.61,2,4,0.5,0,0,61,27,14,2.74,2.84,0.45,0.35,0.6,0.7,1.5,1.8
Matt Hamill,Alexander Gustafsson,Blue,0,13,34,0.38,13,35,0.37,0,6,0,0,0,0,12,8,3.69,3.8,0.42,0.34,0.61,0.91,0,3,1,37,98,0.37,41,104,0.39,0,0,0,0,0,22,18,8,4.03,3.53,0.4,0.39,0.51,0.83,0.4,1.53
Chad Mendes,Rani Yahya,Red,0,35,72,0.48,46,83,0.55,5,5,1,0,0,284,18,5,2.78,2.35,0.49,0.55,0.67,1,0.3,4.13,0,15,87,0.17,43,115,0.37,0,5,0,0,0,0,28,11,1.59,1.77,0.37,0.32,0.5,0.24,1.9,2.86
Ivan Menjivar,Nick Pace,Red,0,61,181,0.33,87,208,0.42,0,1,0,0,0,1,25,12,2.78,2.76,0.37,0.28,0.65,0.38,1,0.56,0,31,116,0.26,34,121,0.28,2,4,0.5,1,0,184,8,3,1.48,3.14,0.34,0.43,0.57,0.54,0.5,2.52
Johny Hendricks,Mike Pierce,Red,0,54,121,0.44,90,159,0.57,1,6,0.16,0,0,112,18,8,3.49,3.99,0.45,0.46,0.53,0.63,0.3,3.83,0,37,99,0.37,81,145,0.56,1,4,0.25,0,0,190,17,7,2.62,2.36,0.42,0.42,0.62,0.71,0.2,3.08
Mike Brown,Nam Phan,Red,0,60,123,0.48,138,213,0.65,5,18,0.27,0,0,517,26,9,2.98,2.45,0.44,0.4,0.6,0.66,0.6,3.23,0,38,120,0.31,51,133,0.38,0,0,0,0,0,0,21,17,4.52,6.55,0.37,0.18,0.59,0.6,0.2,0.18
Rafael Natal,Paul Bradley,Red,0,43,123,0.34,55,135,0.41,0,1,0,0,0,4,21,9,3.1,2.48,0.47,0.34,0.57,0.77,0.5,2.55,0,13,67,0.19,19,75,0.25,3,12,0.25,0,0,155,23,8,2.26,4.13,0.32,0.16,0.56,1,0,1.12
Dominick Cruz,Urijah Faber,Red,0,90,238,0.37,97,246,0.39,4,13,0.3,0,1,137,24,4,3.91,2.61,0.33,0.42,0.7,0.83,0.1,2.82,0,50,170,0.29,58,181,0.32,1,5,0.2,0,0,45,35,11,2.65,2.59,0.4,0.3,0.64,0.58,0.8,1.54
Wanderlei Silva,Chris Leben,Blue,0,3,8,0.37,3,8,0.38,0,0,0,0,0,0,35,13,2.79,2.19,0.4,0.53,0.6,0.62,0.6,0.97,1,9,10,0.9,12,13,0.92,0,0,0,0,0,2,22,11,2.87,2.87,0.42,0.41,0.52,0.53,0.8,1.14
Dennis Siver,Matt Wiman,Red,0,31,111,0.27,128,213,0.6,1,1,1,0,0,88,23,11,3.87,2.67,0.32,0.32,0.65,0.65,0.3,0.87,0,26,73,0.35,34,86,0.4,5,16,0.31,2,0,454,16,10,3.17,3.57,0.5,0.37,0.51,0.56,1.5,2.13
Tito Ortiz,Ryan Bader,Red,1,6,16,0.37,7,17,0.41,0,0,0,1,0,6,19,12,2.59,2.88,0.46,0.35,0.6,0.54,0.6,2.47,0,4,21,0.19,4,21,0.19,0,0,0,0,0,9,23,5,2.82,1.39,0.43,0.44,0.71,0.8,0.4,3.37
Carlos Condit,Dong Hyun Kim,Red,1,8,21,0.38,9,22,0.41,0,0,0,1,1,9,32,14,3.66,2.67,0.39,0.46,0.55,0.38,1,0.59,0,1,6,0.16,1,6,0.17,1,1,1,0,0,14,22,4,2.12,1.89,0.49,0.43,0.58,0.71,0.6,2.93
Melvin Guillard,Shane Roller,Red,2,17,42,0.4,17,42,0.4,0,0,0,0,0,6,32,18,2.96,1.85,0.4,0.63,0.66,0.61,0.2,1.3,0,1,13,0.07,1,13,0.08,0,0,0,0,0,0,11,7,2.04,2.65,0.34,0.33,0.6,0.42,1.9,2.46
George Sotiropoulos,Rafael Dos Anjos,Blue,0,2,24,0.08,2,24,0.08,0,0,0,0,0,0,14,7,2.61,2.52,0.27,0.31,0.67,0.53,1.6,2.32,1,2,10,0.2,2,10,0.2,0,0,0,0,0,3,32,16,3.48,3.21,0.47,0.35,0.6,0.55,0.6,1.95
Brian Bowles,Takeya Mizugaki,Red,0,29,86,0.33,46,107,0.43,1,1,1,0,0,369,10,3,2.36,2.98,0.26,0.7,0.64,0.54,1.4,1.39,0,14,89,0.15,33,111,0.3,0,0,0,0,0,24,21,11,3.37,3.27,0.37,0.57,0.57,0.7,0.1,1.46
Brad Tavares,Aaron Simpson,Blue,0,13,33,0.39,41,62,0.66,1,4,0.25,0,0,58,20,10,3.38,3.15,0.43,0.26,0.55,0.81,0,0.78,0,43,66,0.65,127,156,0.81,2,15,0.13,2,0,659,12,5,3.6,2.53,0.52,0.34,0.56,0.83,0.5,3.78
Anthony Njokuani,Andre Winner,Red,0,116,211,0.54,118,214,0.55,2,3,0.66,0,0,66,16,12,3.94,2.41,0.46,0.45,0.65,0.53,0.2,0.5,0,15,114,0.13,17,116,0.15,0,1,0,0,0,25,21,11,2.52,4.57,0.33,0,0.51,0.74,0,0
Jeff Hougland,Donny Walker,Red,0,61,116,0.52,104,165,0.63,1,5,0.2,4,2,222,10,6,1.86,3.46,0.48,0.18,0.47,0,1.1,0.86,0,31,83,0.37,82,137,0.6,0,0,0,2,0,379,15,10,1.81,3.85,0.37,0,0.46,0.57,1.7,0
Cheick Kongo,Pat Barry,Red,1,10,16,0.62,11,17,0.65,0,2,0,0,0,1,27,10,3.33,1.28,0.56,0.56,0.54,0.52,0.2,2.3,2,8,16,0.5,11,19,0.58,0,1,0,0,0,9,8,7,2.72,3.54,0.52,0,0.59,0.76,0.2,0
Charlie Brenneman,Rick Story,Red,0,11,26,0.42,70,86,0.81,5,8,0.62,0,1,582,19,8,1.52,1.55,0.56,0.42,0.46,0.72,0,4.23,0,17,46,0.36,61,91,0.67,2,4,0.5,4,0,167,19,9,3.8,2.17,0.41,0.48,0.62,0.63,0.9,2.53
Matt Brown,John Howard,Red,0,38,83,0.45,96,145,0.66,3,4,0.75,3,0,214,26,19,3.76,2.92,0.55,0.46,0.55,0.63,1.3,1.68,0,20,35,0.57,29,46,0.63,5,11,0.45,0,1,400,24,13,2.15,3.08,0.5,0.49,0.51,0.53,0.4,2.7
Christian Morecraft,Matt Mitrione,Blue,0,17,90,0.18,22,96,0.23,2,3,0.66,0,1,109,8,3,2.82,2.46,0.34,0.66,0.46,0.5,2.2,3.26,3,37,80,0.46,45,88,0.51,0,0,0,0,0,53,12,5,3.55,2.79,0.5,0,0.64,0.55,0.7,0
Tyson Griffin,Manvel Gamburyan,Red,0,67,125,0.53,100,163,0.61,0,3,0,0,0,228,16,8,3.71,2.3,0.41,0.46,0.65,0.59,0.9,1.87,0,32,71,0.45,42,84,0.5,2,12,0.16,0,0,158,15,10,2.13,2.83,0.41,0.34,0.55,0.69,0.7,3.26
Joe Stevenson,Javier Vazquez,Blue,0,27,76,0.35,29,78,0.37,0,3,0,1,0,81,33,16,2.05,2.44,0.44,0.44,0.6,0.39,2.2,2.75,0,62,161,0.38,107,209,0.51,3,5,0.6,1,0,254,16,5,2.43,1.99,0.36,0.52,0.72,0.57,1.5,2.56
Joe Lauzon,Curt Warburton,Red,1,12,33,0.36,12,33,0.36,0,0,0,1,0,27,28,16,2.84,5.39,0.39,0.45,0.54,0.54,2,2.39,0,5,23,0.21,5,23,0.22,0,0,0,0,0,0,13,6,2.13,3.44,0.42,0.5,0.43,0.83,0.9,2.35
Daniel Roberts,Rich Attonito,Blue,0,23,66,0.34,26,69,0.38,1,7,0.14,1,0,79,15,7,0.73,2.27,0.2,0.44,0.46,0.4,2.5,2.46,1,66,101,0.65,113,153,0.74,1,2,0.5,0,1,344,10,5,2.28,2.13,0.47,0.37,0.59,0.75,0,0.74
Ricardo Lamas,Matt Grice,Red,1,16,32,0.5,16,32,0.5,1,3,0.33,0,0,109,20,8,3.13,2.87,0.47,0.33,0.57,0.46,0.9,1.84,0,6,30,0.2,18,42,0.43,0,1,0,0,0,0,15,5,4.09,2.69,0.53,0.37,0.56,0.82,0.5,2.19
Michael Johnson,Edward Faaloloto,Red,1,27,73,0.36,29,75,0.39,1,1,1,0,0,65,23,19,4.27,3.83,0.39,0.41,0.57,0.81,0,0.62,0,17,43,0.39,21,47,0.45,0,0,0,0,0,11,2,5,2.28,6.25,0.32,0.25,0.44,0.33,0,1.01
Shane Carwin,Junior Dos Santos,Blue,0,20,86,0.23,22,88,0.25,1,3,0.33,0,0,56,12,2,4.38,3.53,0.47,0.33,0.53,0.42,0,1.42,1,88,188,0.46,104,212,0.49,2,2,1,0,0,44,21,9,4.49,3.33,0.47,0.5,0.56,0.81,0.1,0.3
Kenny Florian,Diego Nunes,Red,0,42,111,0.37,112,185,0.61,4,9,0.44,1,0,292,14,6,2.41,1.85,0.4,0.33,0.63,0.6,1.3,2.22,1,31,104,0.29,34,108,0.31,2,2,1,0,0,138,19,7,2.72,2.59,0.43,0.44,0.58,0.65,0.6,1.18
Mark Munoz,Demian Maia,Red,0,44,81,0.54,75,115,0.65,3,7,0.42,1,0,322,14,6,3.12,2.26,0.51,0.29,0.57,0.57,0.6,3.17,0,32,78,0.41,40,87,0.46,0,7,0,2,0,113,28,11,1.8,2.07,0.43,0.24,0.63,0.61,1,2.49
Dave Herman,Jon Olav Einemo,Red,1,55,96,0.57,60,101,0.59,1,1,1,0,0,44,22,6,4.98,3.78,0.6,1,0.48,0.58,0,1.49,0,34,70,0.48,36,74,0.49,1,4,0.25,0,0,114,6,3,2.15,3.05,0.52,0.55,0.52,0.43,0,1.73
Vagner Rocha,Donald Cerrone,Blue,0,46,106,0.43,47,108,0.44,1,7,0.14,0,0,56,14,4,2.64,4.5,0.42,0.33,0.48,0.5,1.9,1.4,0,86,145,0.59,87,146,0.6,0,1,0,0,0,40,36,17,4.41,4.48,0.46,0.33,0.53,0.73,1.2,1.16
Yves Edwards,Sam Stout,Blue,0,14,32,0.43,23,43,0.53,1,2,0.5,0,0,75,42,22,2.91,2.34,0.42,0.53,0.66,0.69,0.7,0.76,1,13,54,0.24,13,56,0.23,0,0,0,0,0,2,20,12,4.17,4.08,0.28,0.38,0.57,0.77,0.1,0.63
Jesse Bongfeldt,Chris Weidman,Blue,0,5,12,0.41,17,28,0.61,0,0,0,0,0,0,16,5,2.91,1.01,0.62,0.33,0.5,0.33,0,1.51,0,7,17,0.41,32,44,0.73,1,1,1,1,0,225,15,7,2.98,3.27,0.43,0.43,0.5,0.65,0.8,3.6
Mike Massenzio,Krzysztof Soszynski,Blue,0,17,39,0.43,28,51,0.55,2,17,0.11,0,0,223,13,9,2.08,3.59,0.45,0.24,0.54,0.5,1.4,2.74,0,66,126,0.52,112,179,0.63,0,0,0,0,0,328,26,12,3.37,3.13,0.39,0.25,0.58,0.71,1,0.52
Nick Ring,James Head,Red,0,58,98,0.59,135,195,0.69,5,5,1,1,0,539,14,4,3.52,3.48,0.42,0.36,0.62,0.52,0.3,1.36,1,30,56,0.53,43,69,0.62,0,0,0,0,0,23,9,4,2.75,3.11,0.48,1,0.49,0.66,0.8,0.41
Dustin Poirier,Jason Young,Red,0,77,146,0.52,84,154,0.55,5,9,0.55,0,0,280,30,8,5.45,4.36,0.51,0.36,0.53,0.63,1.4,1.33,0,57,161,0.35,102,208,0.49,0,0,0,0,0,51,9,6,2.97,3.2,0.37,0.66,0.5,0.55,0,1.98
Joey Beltran,Aaron Rosa,Red,0,88,188,0.46,185,304,0.61,1,4,0.25,0,0,320,17,14,4.92,5.27,0.36,0.18,0.54,0.75,0,0.48,0,73,179,0.4,135,258,0.52,0,1,0,0,0,8,18,6,4.03,4.41,0.47,0.33,0.45,0.85,0.4,0.36
Darren Elkins,Michihiro Omigawa,Red,0,78,288,0.27,79,289,0.27,1,4,0.25,0,0,5,28,11,3.44,3.27,0.38,0.35,0.52,0.56,1.1,2.85,0,65,141,0.46,77,158,0.49,1,2,0.5,0,0,88,17,14,2.01,3.06,0.39,0.36,0.64,0.49,1.5,1.19
Ramsey Nijem,Tony Ferguson,Blue,0,12,57,0.21,13,58,0.22,0,0,0,0,0,0,9,6,3.05,1.62,0.44,0.62,0.62,0.55,1.1,5.32,1,21,38,0.55,29,46,0.63,2,3,0.66,0,0,74,26,10,4.94,4.41,0.45,0.35,0.55,0.67,0.9,0.39
Clay Guida,Anthony Pettis,Red,0,19,65,0.29,63,112,0.56,5,8,0.62,0,1,617,38,21,2.64,3.01,0.33,0.36,0.61,0.67,0.6,3.13,0,14,51,0.27,42,80,0.52,0,0,0,1,0,41,24,10,3.05,3.44,0.47,0.5,0.54,0.6,1.1,0.61
Ed Herman,Tim Credeur,Red,1,11,19,0.57,11,19,0.58,0,0,0,0,0,3,27,16,3.31,3.71,0.48,0.47,0.42,0.59,1,1.96,0,11,24,0.45,11,24,0.46,0,0,0,0,0,0,12,4,3.59,3.13,0.3,1,0.57,0.5,3.3,0.41
Fabio Maldonado,Kyle Kingsbury,Blue,0,78,144,0.54,122,189,0.65,2,2,1,2,1,94,23,11,5.29,4.31,0.58,0.57,0.53,0.61,0.6,0.44,0,95,191,0.49,110,209,0.53,5,14,0.35,0,0,157,11,6,2.97,3.81,0.4,0.41,0.51,0.52,0,2.64
Chuck O'Neil,Chris Cope,Blue,0,47,125,0.37,48,126,0.38,0,2,0,0,0,104,17,9,3.13,4.4,0.37,0,0.72,0,0,0,0,66,238,0.27,83,256,0.32,0,0,0,0,0,35,8,4,3.96,4.82,0.26,0,0.5,0.8,0,0
Danny Downes,Jeremy Stephens,Blue,0,32,88,0.36,48,107,0.45,0,0,0,1,0,28,8,3,1.66,3.53,0.34,0,0.37,0.37,0.5,0,0,55,88,0.62,87,121,0.72,6,8,0.75,3,0,496,28,19,3.17,3.05,0.4,0.38,0.58,0.65,0.4,1.16
Josh Grispi,George Roop,Blue,0,11,28,0.39,14,31,0.45,4,5,0.8,0,0,291,14,5,1.44,3.71,0.41,0.36,0.5,0.16,2.2,1.97,1,91,142,0.64,159,212,0.75,0,0,0,0,0,363,15,13,3.43,2.47,0.34,0.57,0.6,0.59,0.1,1.05
Ryan McGillivray,Shamar Bailey,Blue,0,19,91,0.2,25,97,0.26,0,1,0,0,0,0,12,0,1.27,2.2,0.2,0,0.52,0.44,0,0,0,33,69,0.47,63,105,0.6,5,9,0.55,0,0,561,16,11,1.56,3.91,0.2,0.33,0.69,0.37,0,1.5
Clay Harvison,Justin Edwards,Red,0,57,108,0.52,113,170,0.66,1,1,1,2,1,230,13,6,3.29,3.91,0.48,1,0.58,0.68,1.3,0.66,0,42,90,0.46,84,144,0.58,7,20,0.35,0,0,413,9,5,2.68,3.32,0.42,0.26,0.51,0.27,1,2.14
Scott Jorgensen,Ken Stone,Red,0,15,28,0.53,17,30,0.57,1,1,1,0,0,69,15,12,3.37,3.41,0.4,0.45,0.65,0.59,0.7,2.61,0,18,42,0.42,25,49,0.51,0,0,0,0,0,21,11,4,3.85,2.9,0.49,0.33,0.48,0.6,0.6,1.24
Reuben Duran,Francisco Rivera,Red,0,42,71,0.59,101,132,0.77,2,5,0.4,2,0,415,11,7,3.19,2.61,0.49,0.23,0.5,0.25,0.7,0.98,0,22,38,0.57,54,70,0.77,0,1,0,3,0,58,11,7,4.07,3.16,0.41,0.63,0.68,0.68,0.6,1.01
Quinton Jackson,Matt Hamill,Red,0,55,128,0.42,61,135,0.45,0,0,0,0,0,62,37,12,3.25,2.51,0.54,0.56,0.55,0.73,0.1,1.52,0,32,85,0.37,34,87,0.39,0,17,0,0,0,75,12,8,3.69,3.8,0.42,0.34,0.61,0.91,0,3
Frank Mir,Roy Nelson,Red,0,46,65,0.7,82,103,0.8,6,8,0.75,0,0,444,18,11,2.18,3.84,0.47,0.4,0.38,0.54,2,2.02,0,21,51,0.41,46,77,0.6,0,1,0,0,0,240,22,14,2.18,4.79,0.36,0.27,0.46,0.65,0.1,1.14
Stefan Struve,Travis Browne,Blue,0,10,23,0.43,10,23,0.43,0,0,0,2,1,39,33,13,3.12,4.04,0.47,0.46,0.46,0.55,1.7,0.56,1,17,36,0.47,17,37,0.46,1,1,1,0,0,73,18,7,2.93,4.31,0.41,0.68,0.42,0.75,0.2,1.21
Thiago Alves,Rick Story,Blue,0,41,111,0.36,54,125,0.43,1,3,0.33,0,0,60,23,15,3.73,3.42,0.41,0.6,0.62,0.63,0.3,0.71,0,62,169,0.36,79,187,0.42,4,14,0.28,0,0,459,19,9,3.8,2.17,0.41,0.48,0.62,0.63,0.9,2.53
Brian Stann,Jorge Santiago,Red,2,47,99,0.47,77,135,0.57,0,0,0,0,0,102,12,6,3.28,2.65,0.42,0.12,0.59,0.6,0.3,0.12,0,14,43,0.32,16,45,0.36,0,2,0,0,0,15,25,12,1.69,2.62,0.35,0.3,0.56,0.52,0.8,0.58
Miguel Torres,Demetrious Johnson,Blue,0,10,19,0.52,95,115,0.83,0,1,0,3,2,273,44,9,3.98,1.86,0.43,0,0.74,0.17,1.6,0,0,13,23,0.56,63,92,0.68,5,5,1,0,1,520,27,3,3.43,1.66,0.54,0.56,0.67,0.65,0.5,3.35
Kendall Grove,Tim Boetsch,Blue,0,20,45,0.44,68,95,0.72,1,3,0.33,0,0,108,23,17,2.31,2.4,0.41,0.45,0.54,0.56,1.7,0.49,0,17,22,0.77,90,111,0.81,7,14,0.5,0,1,600,21,13,2.93,2.9,0.5,0.34,0.57,0.59,0.8,1.45
Gleison Tibau,Rafaello Oliveira,Red,1,19,56,0.33,38,77,0.49,3,3,1,2,0,141,33,14,1.95,2.51,0.31,0.53,0.63,0.92,0.8,4.08,0,12,48,0.25,15,51,0.29,0,3,0,0,0,14,17,8,2.19,3.38,0.33,0.36,0.59,0.11,1.6,2.49
Michael McDonald,Chris Cariaso,Red,0,32,67,0.47,37,72,0.51,1,2,0.5,0,0,129,17,4,2.69,2.76,0.42,0.66,0.57,0.52,1.4,1.09,0,44,85,0.51,55,98,0.56,1,4,0.25,0,0,98,17,8,3.35,2.23,0.43,0.39,0.61,0.57,0.8,1.11
Cole Escovedo,Renan Barao,Blue,0,29,65,0.44,48,84,0.57,0,1,0,0,0,12,17,9,1.77,4.32,0.43,0.33,0.49,0.13,0,0.43,0,46,88,0.52,96,139,0.69,6,7,0.85,0,0,513,34,9,3.78,3.9,0.36,0.41,0.57,0.91,0.5,1.49
Georges St-Pierre,Jake Shields,Red,0,85,245,0.34,92,252,0.37,2,3,0.66,0,0,47,26,2,3.78,1.4,0.53,0.74,0.72,0.83,1.1,4.16,0,78,401,0.19,96,423,0.23,0,6,0,0,0,20,31,9,2.45,1.8,0.36,0.29,0.56,0.35,1.2,2.83
Jose Aldo,Mark Hominick,Red,1,94,215,0.43,131,258,0.51,5,9,0.55,1,0,553,31,8,3.57,3.74,0.46,0.54,0.6,0.91,0.1,0.49,0,71,181,0.39,147,274,0.54,1,2,0.5,0,0,258,20,12,4.08,4.18,0.42,0.66,0.69,0.71,0.9,0.25
Lyoto Machida,Randy Couture,Red,1,15,47,0.31,17,49,0.35,0,0,0,0,0,2,24,8,2.59,1.57,0.53,0.65,0.61,0.75,0.4,1.21,0,5,23,0.21,5,24,0.21,0,3,0,0,0,6,19,11,2.85,1.53,0.57,0.46,0.59,0.58,0.5,2.78
Vladimir Matyushenko,Jason Brilz,Red,1,8,9,0.88,8,9,0.89,0,0,0,0,0,2,27,8,1.9,1.62,0.44,0.46,0.59,0.7,0.1,3.25,0,1,1,1,1,1,1,0,0,0,0,0,0,22,6,2.66,1.78,0.4,0.25,0.65,0.25,1.3,2.37
